datetime,open,high,low,close
2023-09-08,26245.20898,26414.0058594,25677.48047,25905.6543
2023-09-07,25748.3125,26409.30273,25608.20117,26240.19531
2023-09-06,25783.93164,25953.015625,25404.35938,25753.23633
2023-09-05,25814.95703,25858.375,25589.98828,25779.98242
2023-09-04,25968.16992,26081.52539,25657.025391,25812.41602
2023-09-03,25869.47266,26087.14844,25817.03125,25969.56641
2023-09-02,25800.91016,25970.28516,25753.09375,25868.79883
2023-09-01,25934.021484,26125.86914,25362.60938,25800.72461
2023-08-31,27301.92969,27456.078125,25752.92969,25931.47266
2023-08-30,27726.083984,27760.16016,27069.20703,27297.26562
2023-08-29,26102.48633,28089.33789,25912.62891,27727.39258
2023-08-28,26089.61523,26198.57812,25880.59961,26106.15039
2023-08-27,26008.24219,26165.37305,25965.097656,26089.69336
2023-08-26,26047.23438,26107.38477,25983.87891,26008.46289
2023-08-25,26163.67969,26248.10352,25786.8125,26047.66797
2023-08-24,26431.51953,26554.91016,25914.92578,26162.37305
2023-08-23,26040.47461,26786.89844,25804.99805,26431.64062
2023-08-22,26130.74805,26135.50781,25520.72852,26031.65625
2023-08-21,26188.69141,26220.20117,25846.087891,26124.14062
2023-08-20,26096.86133,26260.68164,26004.31445,26189.58398
2023-08-19,26047.83203,26249.44922,25802.4082,26096.20508
2023-08-18,26636.078125,26808.19531,25668.92188,26049.55664
2023-08-17,28699.80273,28745.94727,25409.11133,26664.55078
2023-08-16,29169.074219,29221.97656,28701.7793,28701.7793
2023-08-15,29408.048828,29439.12109,29088.85352,29170.34766
2023-08-14,29283.26367,29660.25391,29124.10547,29408.44336
2023-08-13,29416.59375,29441.43359,29265.80664,29282.91406
2023-08-12,29399.78711,29465.11328,29357.58789,29415.96484
2023-08-11,29424.90234,29517.77344,29253.51758,29397.71484
2023-08-10,29563.97266,29688.56445,29354.44727,29429.5918
2023-08-09,29766.69531,30093.43555,29376.80078,29561.49414
2023-08-08,29180.019531,30176.79688,29113.81445,29765.49219
2023-08-07,29038.51367,29244.28125,28724.14062,29180.57812
2023-08-06,29043.70117,29160.82227,28963.83398,29041.85547
2023-08-05,29075.38867,29102.46484,28957.79688,29042.12695
2023-08-04,29174.38281,29302.078125,28885.33594,29074.091797
2023-08-03,29161.8125,29375.70703,28959.48828,29178.67969
2023-08-02,29704.14648,29987.99805,28946.50977,29151.95898
2023-08-01,29230.87305,29675.73242,28657.023438,29675.73242
2023-07-31,29278.31445,29489.87305,29131.57812,29230.11133
2023-07-30,29357.09375,29443.16992,29059.50195,29275.30859
2023-07-29,29319.44531,29396.84375,29264.16602,29356.91797
2023-07-28,29212.16406,29521.51367,29125.8457,29319.24609
2023-07-27,29353.79883,29560.9668,29099.35156,29210.68945
2023-07-26,29225.75977,29675.55273,29113.91211,29354.97266
2023-07-25,29178.9707,29353.16016,29062.43359,29227.39062
2023-07-24,30081.66211,30093.39453,28934.29492,29176.91602
2023-07-23,29790.11133,30330.64062,29741.52734,30084.53906
2023-07-22,29908.69727,29991.61523,29664.12109,29771.80273
2023-07-21,29805.11133,30045.99805,29733.85156,29908.74414
2023-07-20,29915.25,30195.53125,29638.095703,29792.015625
2023-07-19,29862.046875,30184.18164,29794.26953,29913.92383
2023-07-18,30147.070312,30233.65625,29556.42773,29856.5625
2023-07-17,30249.62695,30336.40039,29685.7832,30145.88867
2023-07-16,30297.47266,30437.56055,30089.66992,30249.13281
2023-07-15,30331.7832,30407.78125,30263.46289,30295.80664
2023-07-14,31474.7207,31582.25391,29966.38672,30334.068359
2023-07-13,30387.48828,31814.51562,30268.35156,31476.048828
2023-07-12,30622.24609,30959.96484,30228.83594,30391.64648
2023-07-11,30417.63281,30788.31445,30358.097656,30620.95117
2023-07-10,30172.42383,31026.083984,29985.39453,30414.4707
2023-07-09,30291.61133,30427.58984,30085.5918,30171.23438
2023-07-08,30346.92188,30374.4375,30080.16016,30292.54102
2023-07-07,29907.99805,30434.64453,29777.28516,30342.26562
2023-07-06,30507.15039,31460.052734,29892.22656,29909.33789
2023-07-05,30778.72461,30877.33008,30225.61328,30514.16602
2023-07-04,31156.86523,31325.19727,30659.35547,30777.58203
2023-07-03,30624.51562,31375.61328,30586.51367,31156.43945
2023-07-02,30587.26953,30766.14062,30264.019531,30620.76953
2023-07-01,30471.84766,30641.28906,30328.86523,30590.078125
2023-06-30,30441.35352,31256.86328,29600.27539,30477.25195
2023-06-29,30086.1875,30796.25,30057.20312,30445.35156
2023-06-28,30696.56055,30703.2793,29921.82227,30086.24609
2023-06-27,30274.32031,31006.78711,30236.65039,30688.16406
2023-06-26,30480.52344,30636.029297,29955.74414,30271.13086
2023-06-25,30545.15039,31041.27148,30327.94336,30480.26172
2023-06-24,30708.73828,30804.14844,30290.14648,30548.69531
2023-06-23,29896.38281,31389.53906,29845.21484,30695.46875
2023-06-22,29995.93555,30495.99805,29679.1582,29912.28125
2023-06-21,28311.31055,30737.33008,28283.41016,30027.29688
2023-06-20,26841.66406,28388.96875,26668.79102,28327.48828
2023-06-19,26335.44141,26984.61133,26312.83203,26851.029297
2023-06-18,26510.45703,26675.92578,26325.89062,26336.21289
2023-06-17,26328.67969,26769.39453,26174.49219,26510.67578
2023-06-16,25575.2832,26463.17383,25245.35742,26327.46289
2023-06-15,25121.67383,25735.30859,24797.16797,25576.39453
2023-06-14,25920.25781,26041.80078,24902.15234,25124.67578
2023-06-13,25902.94141,26376.35156,25728.36523,25918.72852
2023-06-12,25934.28516,26087.91992,25675.19727,25902.5
2023-06-11,25854.03125,26203.43945,25668.98633,25940.16797
2023-06-10,26481.76172,26531.044922,25501.83594,25851.24023
2023-06-09,26505.92383,26770.28906,26339.31445,26480.375
2023-06-08,26347.6543,26797.51367,26246.66406,26508.2168
2023-06-07,27235.65039,27332.18164,26146.98828,26345.99805
2023-06-06,25732.10938,27313.82031,25434.86719,27238.7832
2023-06-05,27123.10938,27129.98242,25445.16797,25760.097656
2023-06-04,27075.12305,27407.019531,26968.22461,27119.066406
2023-06-03,27252.32422,27317.052734,26958.0039062,27075.12891
2023-06-02,26824.55664,27303.86133,26574.64453,27249.58984
2023-06-01,27218.41211,27346.10547,26671.7207,26819.97266
2023-05-31,27700.5293,27831.67773,26866.45312,27219.6582
2023-05-30,27745.12305,28044.75977,27588.50195,27702.34961
2023-05-29,28075.5918,28432.039062,27563.87695,27745.88477
2023-05-28,26871.1582,28193.44922,26802.75195,28085.64648
2023-05-27,26720.18164,26888.88281,26621.14062,26868.35352
2023-05-26,26474.18164,26916.66992,26343.94922,26719.29102
2023-05-25,26329.46094,26591.51953,25890.59375,26476.20703
2023-05-24,27224.60352,27224.60352,26106.57617,26334.81836
2023-05-23,26855.96094,27434.68359,26816.17969,27225.72656
2023-05-22,26749.89258,27045.73438,26549.73438,26851.27734
2023-05-21,27118.42383,27265.91797,26706.92188,26753.82617
2023-05-20,26888.8418,27155.1582,26843.27734,27129.58594
2023-05-19,26826.75391,27128.61914,26700.21094,26890.12891
2023-05-18,27401.65039,27466.52734,26415.10156,26832.20898
2023-05-17,27035.4707,27465.92773,26600.14453,27398.80273
2023-05-16,27171.51367,27299.30469,26878.94727,27036.65039
2023-05-15,26931.38477,27646.34766,26766.097656,27192.69336
2023-05-14,26788.97461,27150.97656,26661.35547,26930.63867
2023-05-13,26807.76953,27030.48242,26710.87305,26784.078125
2023-05-12,26987.66211,27055.64648,25878.42969,26804.99023
2023-05-11,27621.085938,27621.94141,26781.82617,27000.78906
2023-05-10,27654.63672,28322.6875,26883.66992,27621.75586
2023-05-09,27695.068359,27821.40039,27375.60156,27658.77539
2023-05-08,28450.45703,28663.27148,27310.13477,27694.27344
2023-05-07,28901.62305,29157.51758,28441.36719,28454.97852
2023-05-06,29538.85938,29820.12695,28468.9668,28904.62305
2023-05-05,28851.48047,29668.9082,28845.50977,29534.38477
2023-05-04,29031.30469,29353.18555,28694.039062,28847.71094
2023-05-03,28680.49414,29259.5332,28178.38867,29006.30859
2023-05-02,28087.17578,28881.29883,27924.12305,28680.53711
2023-05-01,29227.10352,29329.93555,27680.79297,28091.56836
2023-04-30,29245.51562,29952.029297,29114.021484,29268.80664
2023-04-29,29336.56641,29452.45508,29088.042969,29248.48828
2023-04-28,29481.013672,29572.79102,28929.60938,29340.26172
2023-04-27,28428.46484,29871.54688,28402.88672,29473.78711
2023-04-26,28300.058594,29995.83789,27324.54883,28422.70117
2023-04-25,27514.87305,28371.078125,27207.93164,28307.59766
2023-04-24,27591.73047,27979.98242,27070.84961,27525.33984
2023-04-23,27816.14453,27820.24414,27400.31445,27591.38477
2023-04-22,27265.89453,27872.14258,27169.57031,27817.5
2023-04-21,28249.23047,28349.96875,27177.36523,27276.91016
2023-04-20,28823.68359,29076.40039,28037.25781,28245.98828
2023-04-19,30394.1875,30411.054688,28669.89844,28822.67969
2023-04-18,29449.091797,30470.30273,29154.84961,30397.55273
2023-04-17,30317.14648,30319.19727,29275.37109,29445.044922
2023-04-16,30315.97656,30555.53711,30157.83203,30315.35547
2023-04-15,30490.75,30601.74023,30245.88281,30318.49609
2023-04-14,30409.5625,31005.60742,30044.49805,30485.69922
2023-04-13,29892.74023,30539.8457,29878.62305,30399.066406
2023-04-12,30231.58203,30462.48047,29725.57422,30139.052734
2023-04-11,29653.67969,30509.083984,29609.30078,30235.058594
2023-04-10,28336.027344,29771.46484,28189.27148,29652.98047
2023-04-09,27952.36719,28532.83008,27828.48047,28333.050781
2023-04-08,27920.51367,28159.86328,27883.38672,27947.79492
2023-04-07,28038.9668,28111.59375,27794.03125,27925.85938
2023-04-06,28175.22656,28178.38477,27738.75977,28044.14062
2023-04-05,28169.72656,28739.23828,27843.76367,28177.98438
2023-04-04,27795.27344,28433.74219,27681.30469,28168.089844
2023-04-03,28183.080078,28475.62305,27276.7207,27790.2207
2023-04-02,28462.8457,28518.95898,27884.087891,28199.30859
2023-04-01,28473.33203,28802.45703,28297.17188,28411.035156
2023-03-31,28032.26172,28639.89648,27583.71484,28478.48438
2023-03-30,28350.14062,29159.90234,27720.16016,28033.5625
2023-03-29,27267.03125,28619.54297,27259.66211,28348.44141
2023-03-28,27132.88867,27460.71875,26677.81836,27268.13086
2023-03-27,27994.068359,28037.92578,26606.68945,27139.88867
2023-03-26,27495.52344,28178.14453,27445.046875,27994.33008
2023-03-25,27487.33789,27791.82617,27196.23438,27494.70703
2023-03-24,28324.11133,28388.4375,27039.26562,27493.28516
2023-03-23,27301.95703,28729.84375,27183.36328,28333.97266
2023-03-22,28158.7207,28803.33594,26759.99609,27307.4375
2023-03-21,27768.39258,28439.5625,27439.64648,28175.81641
2023-03-20,28041.60156,28527.72461,27242.88086,27767.23633
2023-03-19,26969.50391,28440.56055,26907.7168,28038.67578
2023-03-18,27448.11719,27725.95312,26636.26172,26965.87891
2023-03-17,25055.12305,27787.8125,24955.16992,27423.92969
2023-03-16,24373.45703,25190.32617,24225.11133,25052.78906
2023-03-15,24770.92578,25240.61523,23964.91016,24375.96094
2023-03-14,24201.76562,26514.7168,24081.18359,24746.074219
2023-03-13,22156.40625,24550.83789,21918.19922,24197.5332
2023-03-12,20628.029297,22185.03125,20448.80664,22163.94922
2023-03-11,20187.87695,20792.52539,20068.66016,20632.41016
2023-03-10,20367.0019531,20370.5957,19628.25391,20187.24414
2023-03-09,21720.080078,21802.7168,20210.30664,20363.021484
2023-03-08,22216.44141,22268.89648,21708.050781,21718.080078
2023-03-07,22428.32227,22527.41797,22011.26172,22219.76953
2023-03-06,22436.81641,22584.29297,22331.31445,22429.75781
2023-03-05,22354.14453,22613.68555,22307.14258,22435.51367
2023-03-04,22362.92383,22405.17773,22198.98047,22353.34961
2023-03-03,23476.63281,23479.34766,22213.23828,22362.67969
2023-03-02,23647.019531,23739.13867,23245.021484,23475.4668
2023-03-01,23150.92969,23880.63281,23088.62695,23646.55078
2023-02-28,23521.83789,23585.38477,23077.65039,23147.35352
2023-02-27,23561.45117,23857.89062,23205.87891,23522.87109
2023-02-26,23174.15039,23654.36719,23084.2207,23561.21289
2023-02-25,23200.125,23210.21094,22861.55859,23175.375
2023-02-24,23946.0078125,24103.70508,23007.072266,23198.12695
2023-02-23,24190.71875,24572.089844,23693.91992,23947.49219
2023-02-22,24437.41797,24472.33984,23644.31836,24188.84375
2023-02-21,24833.048828,25126.85156,24200.36328,24436.35352
2023-02-20,24336.62305,25020.45898,23927.91016,24829.14844
2023-02-19,24640.027344,25093.054688,24327.64258,24327.64258
2023-02-18,24565.29688,24798.83594,24468.37305,24641.27734
2023-02-17,23621.2832,24924.041016,23460.75586,24565.60156
2023-02-16,24307.34961,25134.11719,23602.52344,23623.47461
2023-02-15,22220.58594,24307.8418,22082.76953,24307.8418
2023-02-14,21801.82227,22293.14062,21632.39453,22220.80469
2023-02-13,21787.0,21898.41406,21460.087891,21808.10156
2023-02-12,21870.90234,22060.99414,21682.82812,21788.20312
2023-02-11,21651.8418,21891.41016,21618.44922,21870.875
2023-02-10,21819.0058594,21941.18555,21539.39258,21651.18359
2023-02-09,22946.56641,22996.4375,21773.97461,21819.039062
2023-02-08,23263.41602,23367.95898,22731.097656,22939.39844
2023-02-07,22757.26758,23310.97461,22756.25781,23264.29102
2023-02-06,22954.021484,23119.2793,22692.025391,22760.10938
2023-02-05,23332.24805,23423.43555,22841.75977,22955.66602
2023-02-04,23446.32031,23556.94922,23291.79492,23331.84766
2023-02-03,23469.41211,23678.10352,23279.95508,23449.32227
2023-02-02,23720.82422,24167.21094,23468.5957,23471.87109
2023-02-01,23137.83594,23764.53906,22877.75,23723.76953
2023-01-31,22840.79688,23225.021484,22765.56836,23139.2832
2023-01-30,23774.64844,23789.34766,22657.58203,22840.13867
2023-01-29,23031.44922,23919.89062,22985.070312,23774.56641
2023-01-28,23079.96484,23165.89648,22908.8457,23031.089844
2023-01-27,23030.7168,23417.7207,22654.59375,23078.72852
2023-01-26,23108.95508,23237.078125,22911.37305,23032.77734
2023-01-25,22639.26758,23722.099609,22406.076172,23117.85938
2023-01-24,22929.62695,23134.011719,22549.74414,22636.46875
2023-01-23,22721.087891,23126.48633,22654.30469,22934.43164
2023-01-22,22777.98633,23056.73047,22387.90039,22720.41602
2023-01-21,22677.42773,23282.34766,22511.83398,22777.625
2023-01-20,21085.37305,22692.35742,20919.12695,22676.55273
2023-01-19,20686.74609,21163.011719,20685.38086,21086.79297
2023-01-18,21161.050781,21564.50195,20541.54492,20688.78125
2023-01-17,21175.83398,21438.66016,20978.5332,21161.51953
2023-01-16,20882.22461,21360.875,20715.74609,21169.63281
2023-01-15,20977.48438,20993.74805,20606.98633,20880.79883
2023-01-14,19910.53711,21075.14258,19907.82812,20976.29883
2023-01-13,18868.90625,19964.32227,18753.16406,19909.57422
2023-01-12,18117.59375,19030.087891,17995.20312,18869.58789
2023-01-11,17446.35938,17934.89648,17337.99414,17934.89648
2023-01-10,17192.94922,17484.7207,17162.99023,17446.29297
2023-01-09,17093.99219,17389.95703,17093.99219,17196.55469
2023-01-08,16954.14648,17091.14453,16924.050781,17091.14453
2023-01-07,16952.11719,16975.017578,16914.19141,16955.078125
2023-01-06,16836.47266,16991.99414,16716.42188,16951.96875
2023-01-05,16863.47266,16884.021484,16790.2832,16836.73633
2023-01-04,16680.20508,16964.58594,16667.76367,16863.23828
2023-01-03,16688.84766,16760.44727,16622.37109,16679.85742
2023-01-02,16625.50977,16759.34375,16572.22852,16688.4707
2023-01-01,16547.91406,16630.43945,16521.23438,16625.080078
